ID_IDEFISC;NOMBRE;ID_FCH_DATOS;FECHA_NACIMIENTO;Sector;CNAE;NOM_GRUP;FECHA_HATS;ALERTA_HATS;CONCURSAL;RECIENTE_CREACION;SEGMENTO_GESTION;SUBSEGMENTO_GESTION;DE_CORTA_TERRITORIAL_GEST;NOMBRE_REGIONAL_GEST;NOMBRE_CENTRO_GEST;OFICINA
A03813474;BLINKER ESPAÑA S.A;2016-08-31;1992-11-27;METALURGIA;Comercio al por mayor de ferretería, fontanería y calefacción;Sin Grupo de Riesgo;2016-08-30;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIRECCION REGIONAL EMPRESAS ESTE;ALICANTE- OFICINA DE B.DE EMPRESAS;5122
A04040135;MARTIN PALMERO SA;2016-08-31;1986-03-20;ALIMENTACIÓN Y BEBIDAS;Actividades de apoyo a la agricultura;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.SUR;DIRECCION REGIONAL ANDALUCIA ORIENTAL;(CARTERA) DO9  - DO9 -DIRECTOR OFICINA (SAC);625
A05023601;BV PROINVAL S.A.;2016-08-31;1988-06-16;METALURGIA;Comercio al por mayor no especializado;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CENTRO;DIRECCION REGIONAL MADRID SUR;MOSTOLES -PI NIEVES;5337
A06065908;EL COTO DE GALAN, S.A.;2016-08-31;1987-11-14;ALIMENTACIÓN Y BEBIDAS;Comercio al por mayor de carne y productos cárnicos;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;BARCELONA - SARRIA (B.E.);5084
A07045248;MELCHOR MASCARO, S.A.U.;2016-08-31;1975-04-11;CONSTRUCCIÓN;Construcción de carreteras y autopistas;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIRECCION REGIONAL EMPRESAS ESTE;INCA POLIGONO , OF. EMPRESAS;5586
A07108715;CALIZAS MALLORCA, S.A.;2016-08-31;1983-01-07;CONSTRUCCIÓN;Corte, tallado y acabado de la piedra;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIRECCION REGIONAL EMPRESAS ESTE;PALMA MALLORCA AG. POLIGON SON CASTELLO;221
A07112618;ROBOT, S.A.;2016-08-31;1983-03-29;SERVICIOS A EMPRESAS;Proceso de datos, hosting y actividades relacionadas;Sin Grupo de Riesgo;2016-08-30;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIR.REG.BALEARES SUR;PALMA DE MALLORCA AG. STA. CATALINA;159
A07474117;OBRAS Y PROMOCIONES COMAS, S.A.;2016-08-31;1990-05-11;CONSTRUCCIÓN;Construcción de edificios residenciales;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIRECCION REGIONAL EMPRESAS ESTE;INCA POLIGONO , OF. EMPRESAS;5586
A08000366;S.A. VICHY CATALAN;2016-08-31;1900-06-16;ALIMENTACIÓN Y BEBIDAS;"Fabricación de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas";Sin Grupo de Riesgo;2016-08-30;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;OF.BANCA D'EMPRESES BARCELONA -RAMBLA CATALUNYA;5029
A08044513;CLAROU GROUP, S.A.;2016-08-31;1940-12-24;ALIMENTACIÓN Y BEBIDAS;Comercio al por mayor de productos lácteos, huevos, aceites y grasas comestibles;Sin Grupo de Riesgo;2016-08-30;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;BARCELONA 22@-(BE);5375
A08062416;FILOLANA, S.A.;2016-08-31;1966-12-01;TEXTIL Y CALZADO;Preparación e hilado de fibras textiles;Sin Grupo de Riesgo;;SIN ALERTA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL O.P.;900
A08088742;PLASTICOS CELULOSICOS, S.A.;2016-08-31;1988-02-23;QUIMICA;Fabricación de envases y embalajes de plástico;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES ORIENTAL - OSONA;PALAU-SOLITA I PLEGAMANS;901
A08121329;SAUER-HISPANIA, S.A.;2016-08-31;1966-12-01;QUIMICA;Fabricación de otros productos de caucho;Sin Grupo de Riesgo;2016-08-30;AMARILLA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT SUD;GAVA O.P.;8
A08121345;APRESTOS Y ACABADOS ESTRUCH, S.A.;2016-08-31;1987-07-14;TEXTIL Y CALZADO;Fabricación de tejidos textiles;Sin Grupo de Riesgo;2016-08-30;AMARILLA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. PL. CATALUNYA;52
A08131161;NICOLAS BOSCH MIR, S.A.;2016-08-31;1954-08-01;TEXTIL Y CALZADO;Comercio al por mayor de textiles;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;SABADELL - BANCA EMPRESAS;5154
A08134942;S.A. MARTIN LLOVERAS;2016-08-31;1926-01-01;ALIMENTACIÓN Y BEBIDAS;Fabricación de maquinaria para la industria de la alimentación, bebidas y tabaco;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;TERRASSA OF.EMPRESES;5098
A08141368;INVERSIONS FAMILIARS SBD 2009, S.A.;2016-08-31;1963-03-08;INVERSIONES INMOBILIARIAS;Alquiler de bienes inmobiliarios por cuenta propia;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) DO9  - DO9 -DIRECTOR OFICINA (SAC);42
A08142275;TORHO, S.A.;2016-08-31;1963-04-01;CONSTRUCCIÓN;Fabricación de elementos de hormigón para la construcción;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;GIRONA-(BE);5174
A08142895;NESTFIL, S A;2016-08-31;;METALURGIA;Fabricación de cables de fibra óptica;Sin Grupo de Riesgo;;SIN ALERTA;NO;SIN FECHA;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT NORD - ANOIA;(CARTERA) GPM9 - GPM9-DIRECTOR DE PYME (SAC);323
A08149718;ALCAZAR CINEMA, S.A.;2016-08-31;1967-01-01;TURISMO, HOSTELERÍA Y OCIO;Actividades de exhibición cinematográfica;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) GPYM - GPYM-DIRECTOR DE PYME;52
A08157778;LITOFAN, S.A.;2016-08-31;1964-06-19;PAPEL Y MADERA;Servicios de preimpresión y preparación de soportes;Sin Grupo de Riesgo;;SIN ALERTA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. BERNAT METGE;264
A08192486;ALBERTO CHAVES SOLER, S.A.;2016-08-31;1992-07-22;METALURGIA;Comercio al por mayor no especializado;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES ORIENTAL - OSONA;PALAU-SOLITA I PLEGAMANS;60
A08194425;CONSORCIO MAYORISTA, S.A.;2016-08-31;1966-12-01;METALURGIA;Comercio al por mayor de ferretería, fontanería y calefacción;Sin Grupo de Riesgo;2016-08-30;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;BARCELONA 22@-(BE);68
A08202764;GRAFICAS MENDOZA, S.A.;2016-08-31;1987-05-06;PAPEL Y MADERA;Servicios de preimpresión y preparación de soportes;Sin Grupo de Riesgo;;SIN ALERTA;SI;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT SUD;EL PRAT DE LLOBREGAT O.P.;10
A08203333;S.A.SERRACANT;2016-08-31;1966-12-01;BIENES DE CONSUMO;Fabricación de maquinaria para las industrias textil, de la confección y del cuero;Sin Grupo de Riesgo;2016-08-30;AMARILLA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL O.P.;900
A08205940;PARXET, S.A.;2016-08-31;1977-04-01;ALIMENTACIÓN Y BEBIDAS;Elaboración de vinos;Sin Grupo de Riesgo;2016-08-30;AMARILLA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;OF.BANCA D'EMPRESES BARCELONA -RAMBLA CATALUNYA;5029
A08219552;COMERCIAL DEL ALUMINIO, S.A.;2016-08-31;1968-04-05;UTILITIES;Comercio al por mayor de metales y minerales metálicos;Sin Grupo de Riesgo;2016-08-30;AMARILLA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. BERNAT METGE;264
A08227241;JUAN SERRA GRAUPERA, S.A.;2016-08-31;1978-04-20;TEXTIL Y CALZADO;Confección de otras prendas de vestir y accesorios;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. BERNAT METGE;264
A08234924;PUIG ALIMENTACIO S.A;2016-08-31;1967-08-18;ALIMENTACIÓN Y BEBIDAS;Comercio al por mayor de productos lácteos, huevos, aceites y grasas comestibles;Sin Grupo de Riesgo;;SIN ALERTA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) GPM9 - GPM9-DIRECTOR DE PYME (SAC);900
A08244402;INDUSTRIAL BLANSOL, S.A.;2016-08-31;1966-12-01;METALURGIA;"Forja, estampación y embutición de metales; metalurgia de polvos";Sin Grupo de Riesgo;2016-08-30;ROJA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;SABADELL - BANCA EMPRESAS;5154
A08258675;MALLAS APRESTADAS, S.A.;2016-08-31;1970-12-29;TEXTIL Y CALZADO;Preparación e hilado de fibras textiles;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. CREU BARBERA;26
A08262990;P.PRAT, S.A.;2016-08-31;1966-12-01;ALIMENTACIÓN Y BEBIDAS;Fabricación de maquinaria para la industria de la alimentación, bebidas y tabaco;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;SABADELL - BANCA EMPRESAS;5154
A08269607;QUIMEX, S.A.;2016-08-31;1971-07-15;QUIMICA;Comercio al por mayor de productos químicos;Sin Grupo de Riesgo;;SIN ALERTA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. CREU BARBERA;26
A08274904;UTILLAJES BOY, S.A.;2016-08-31;1966-12-01;METALURGIA;Fabricación de herramientas;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. BERNAT METGE;264
A08303869;S.A.TARRAGO;2016-08-31;1987-05-06;TEXTIL Y CALZADO;Preparación e hilado de fibras textiles;Sin Grupo de Riesgo;;SIN ALERTA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) GPYM - GPYM-DIRECTOR DE PYME;900
A08322836;UTILLAJES PRIM, S.A.;2016-08-31;1973-10-01;METALURGIA;Fabricación de herramientas;Sin Grupo de Riesgo;;SIN ALERTA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. BERNAT METGE;264
A08340267;MORAY FISH INTERNACIONAL S.A.;2016-08-31;1974-08-29;ALIMENTACIÓN Y BEBIDAS;Comercio al por mayor de pescados, mariscos y otros productos alimenticios;Sin Grupo de Riesgo;2016-08-30;AMARILLA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BARCELONES SUD;BARCELONA AG. MERCABARNA;215
A08343949;AUTOCAS, S.A.U.;2016-08-31;1974-04-24;AUTOMOCIÓN;Venta de automóviles y vehículos de motor ligeros;Sin Grupo de Riesgo;2016-08-30;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIRECCION REGIONAL EMPRESAS ESTE;CASTELLON-(BE);5181
A08358772;JORMANEL S.A;2016-08-31;1974-10-29;SERVICIOS A EMPRESAS;Otras actividades de apoyo a las empresas n.c.o.p.;Sin Grupo de Riesgo;2016-08-30;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) DO9  - DO9 -DIRECTOR OFICINA (SAC);133
A08361644;CUNILL ORFEBRES, S.A.;2016-08-31;2000-11-13;BIENES DE CONSUMO;Fabricación de artículos de joyería y artículos similares;Sin Grupo de Riesgo;2016-08-30;ROJA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BARCELONA CENTRE;(CARTERA) DO9  - DO9 -DIRECTOR OFICINA (SAC);167
A08363897;INDUSTRIAS QUIMICAS DE PARETS, S.A.;2016-08-31;1974-09-10;QUIMICA;Fabricación de otros productos químicos n.c.o.p.;Sin Grupo de Riesgo;2016-08-30;AMARILLA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES ORIENTAL - OSONA;(CARTERA) APON - APON-APODERADO GESTION NO INTE;74
A08368797;TALLERES ROAG, S.A.;2016-08-31;1966-12-01;METALURGIA;Fabricación de motores, generadores y transformadores eléctricos;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) GPYM - GPYM-DIRECTOR DE PYME;900
A08371056;CENTRO DE ESTRUCTURAS Y SERVICIOS SA;2016-08-31;1975-01-01;CONSTRUCCIÓN;Alquiler de maquinaria y equipo para la construcción e ingeniería civil;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT SUD;GAVA O.P.;8
A08376709;S.A.INDUSTRIAS DEL CONEXIONADO;2016-08-31;1975-05-20;CONSTRUCCIÓN;Fabricación de otros hilos y cables electrónicos y eléctricos;Sin Grupo de Riesgo;;SIN ALERTA;SI;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT SUD;EL PRAT DE LLOBREGAT O.P.;10
A08378929;MUNDIAL INMOBILIARIA, S.A.;2016-08-31;1987-08-10;INVERSIONES INMOBILIARIAS;Promoción inmobiliaria;Sin Grupo de Riesgo;2016-08-30;VERDE;NO;NO;Promotores;Promotores;T.UCIS CATALUÑA;DIR.ZONA UCI CATALUNYA;UNIDAD CREDITO INMOBILIARIO CATALUNYA;900
A08397291;PABLO HUC, S.A.;2016-08-31;1971-05-01;CONSTRUCCIÓN;Comercio al por mayor de otra maquinaria y equipo;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BARCELONA CENTRE;BARCELONA, DIAGONAL - RAMBLA CATALUNYA;7011
A08400558;CENTRE D'ESPORTS SABADELL FUTBOL CLUB,S.A.D.;2016-08-31;1992-06-30;TURISMO, HOSTELERÍA Y OCIO;Otras actividades deportivas;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) GPYM - GPYM-DIRECTOR DE PYME;900
A08404212;J J VILA SA;2016-08-31;1988-09-18;CONSTRUCCIÓN;Instalaciones eléctricas;Sin Grupo de Riesgo;2016-08-30;ROJA;SI;NO;Empresas;Empresas de Red Comercial;CENTRES POTS;CENTRES POTS;IG-BC-RESTO;5098
A08416174;STRUKTUR S.A.;2016-08-31;1972-06-29;METALURGIA;Fabricación de otros productos metálicos n.c.o.p.;Sin Grupo de Riesgo;2016-08-30;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT NORD - ANOIA;GELIDA;1632
A08417701;JAIME MONES, S.A.;2016-08-31;1966-12-01;CONSTRUCCIÓN;Construcción de edificios residenciales;Sin Grupo de Riesgo;;SIN ALERTA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT SUD;EL PRAT DE LLOBREGAT O.P.;10
A08424715;TALLER AUTO-MONTAJE, SOCIEDAD ANONIMA.;2016-08-31;1992-06-04;AUTOMOCIÓN;Mantenimiento y reparación de vehículos de motor;Sin Grupo de Riesgo;;SIN ALERTA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT NORD - ANOIA;(CARTERA) GPM9 - GPM9-DIRECTOR DE PYME (SAC);323
A08435422;BOMBA ELIAS,S.A.;2016-08-31;1976-02-18;METALURGIA;Fabricación de otras bombas y compresores;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL CATALUNYA CENTRAL - TERRASSA;RUBI AG. SANTA EULALIA;347
A08436958;HILADOS DE CARDA DE SABADELL, S.A.;2016-08-31;1977-01-01;TEXTIL Y CALZADO;Preparación e hilado de fibras textiles;Sin Grupo de Riesgo;2016-08-30;AMARILLA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL O.P.;900
A08472474;MARIN 3, S.A.;2016-08-31;1977-11-08;METALURGIA;"Forja, estampación y embutición de metales; metalurgia de polvos";Sin Grupo de Riesgo;2016-08-30;ROJA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES ORIENTAL - OSONA;PALAU-SOLITA I PLEGAMANS;60
A08474363;IMPORT-EXPORT BEAUMONT, S.A.;2016-08-31;1977-10-18;INVERSIONES INMOBILIARIAS;Alquiler de bienes inmobiliarios por cuenta propia;Sin Grupo de Riesgo;2016-08-30;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT SUD;GAVA O.P.;8
A08478554;CORTYPLEG, S.A.;2016-08-31;1987-05-06;METALURGIA;Fabricación de estructuras metálicas y sus componentes;Sin Grupo de Riesgo;2016-08-30;ROJA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES ORIENTAL - OSONA;PALAU-SOLITA I PLEGAMANS;60
A08479149;CAPARO ATLAS ESPAÑA, S.A.;2016-08-31;1988-05-24;METALURGIA;Fabricación de productos de alambre, cadenas y muelles;Sin Grupo de Riesgo;2016-08-30;AMARILLA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT SUD;GAVA O.P.;8
A08493173;S.A.ENTRETELAS FRANQUESA;2016-08-31;1988-05-24;TEXTIL Y CALZADO;Confección de otras prendas de vestir y accesorios;Sin Grupo de Riesgo;2016-08-30;AMARILLA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) GPYM - GPYM-DIRECTOR DE PYME;900
A08539728;FUNDICION CLOSC, S.A.;2016-08-31;1979-01-01;METALURGIA;Producción de otros metales no férreos;Sin Grupo de Riesgo;;SIN ALERTA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL O.P.;900
A08541005;DECORACION ALUMINIO, S.A.;2016-08-31;1978-12-22;METALURGIA;Fabricación de estructuras metálicas y sus componentes;Sin Grupo de Riesgo;2016-08-30;AMARILLA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT NORD - ANOIA;(CARTERA) GPYM - GPYM-DIRECTOR DE PYME;323
A08542011;CODMISA;2016-08-31;1988-05-24;METALURGIA;Fabricación de otra maquinaria para usos específicos n.c.o.p.;Sin Grupo de Riesgo;2016-08-30;AMARILLA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL O.P.;900
A08542698;TEELAX, S.A.;2016-08-31;1978-12-29;QUIMICA;Fabricación de otros productos químicos n.c.o.p.;Sin Grupo de Riesgo;2016-08-30;ROJA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BARCELONA CENTRE;BARCELONA AG. MERCAT DE SANT ANTONI;93
A08546137;AUXILIAR ENVASES Y EMBALAJES, S.A.;2016-08-31;1968-12-21;PAPEL Y MADERA;"Fabricación de papel y cartón ondulados; fabricación de envases y embalajes de papel y cartón";Sin Grupo de Riesgo;2016-08-30;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT NORD - ANOIA;MARTORELL - LA VILA;17
A08554651;AMEYCAR, S.A.;2016-08-31;1979-09-22;PAPEL Y MADERA;Otras actividades de impresión y artes gráficas;Sin Grupo de Riesgo;2016-08-30;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BARCELONES NORD;BARCELONA, RAMON TURRO;565
A08559486;CASAJUANA ALTAYO, S.A.;2016-08-31;1987-05-06;TEXTIL Y CALZADO;Confección de otras prendas de vestir exteriores;Sin Grupo de Riesgo;2016-08-30;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) GPYM - GPYM-DIRECTOR DE PYME;52
A08576738;ACEROS VESSEL, S.A.;2016-08-31;1988-05-24;UTILITIES;Comercio al por mayor de metales y minerales metálicos;Sin Grupo de Riesgo;2016-08-30;ROJA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL O.P.;900
