ID_IDEFISC;NOMBRE;ID_FCH_DATOS;FECHA_NACIMIENTO;Sector;CNAE;CNAE_2;CNAE_NUM;NOM_GRUP;FECHA_HATS;ALERTA_HATS;CONCURSAL;RECIENTE_CREACION;SEGMENTO_GESTION;SUBSEGMENTO_GESTION;DE_CORTA_TERRITORIAL_GEST;NOMBRE_REGIONAL_GEST;NOMBRE_CENTRO_GEST;OFICINA
A08219552;COMERCIAL DEL ALUMINIO, S.A.;31/08/2016;05/04/1968;UTILITIES;Comercio al por mayor de metales y minerales metálicos;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;29;Sin Grupo de Riesgo;30/08/2016;AMARILLA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. BERNAT METGE;264
A08227241;JUAN SERRA GRAUPERA, S.A.;31/08/2016;20/04/1978;TEXTIL Y CALZADO;Confección de otras prendas de vestir y accesorios;Confección de prendas de vestir;6;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. BERNAT METGE;264
A08234924;PUIG ALIMENTACIO S.A;31/08/2016;18/08/1967;ALIMENTACIÓN Y BEBIDAS;Comercio al por mayor de productos lácteos, huevos, aceites y grasas comestibles;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;29;Sin Grupo de Riesgo;;SIN ALERTA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) GPM9 - GPM9-DIRECTOR DE PYME (SAC);900
A08244402;INDUSTRIAL BLANSOL, S.A.;31/08/2016;01/12/1966;METALURGIA;"Forja, estampación y embutición de metales; metalurgia de polvos";Fabricación de productos metálicos, excepto maquinaria y equipo;16;Sin Grupo de Riesgo;30/08/2016;ROJA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;SABADELL - BANCA EMPRESAS;5154
A08258675;MALLAS APRESTADAS, S.A.;31/08/2016;29/12/1970;TEXTIL Y CALZADO;Preparación e hilado de fibras textiles;Industria textil;6;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. CREU BARBERA;26
A08262990;P.PRAT, S.A.;31/08/2016;01/12/1966;ALIMENTACIÓN Y BEBIDAS;Fabricación de maquinaria para la industria de la alimentación, bebidas y tabaco;Fabricación de maquinaria y equipo n.c.o.p.;19;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL EMPRESAS CATALUNYA;SABADELL - BANCA EMPRESAS;5154
A08269607;QUIMEX, S.A.;31/08/2016;15/07/1971;QUIMICA;Comercio al por mayor de productos químicos;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;29;Sin Grupo de Riesgo;;SIN ALERTA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. CREU BARBERA;26
A08274904;UTILLAJES BOY, S.A.;31/08/2016;01/12/1966;METALURGIA;Fabricación de herramientas;Fabricación de productos metálicos, excepto maquinaria y equipo;16;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. BERNAT METGE;264
A08303869;S.A.TARRAGO;31/08/2016;06/05/1987;TEXTIL Y CALZADO;Preparación e hilado de fibras textiles;Industria textil;6;Sin Grupo de Riesgo;;SIN ALERTA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) GPYM - GPYM-DIRECTOR DE PYME;900
A08322836;UTILLAJES PRIM, S.A.;31/08/2016;01/10/1973;METALURGIA;Fabricación de herramientas;Fabricación de productos metálicos, excepto maquinaria y equipo;16;Sin Grupo de Riesgo;;SIN ALERTA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL AG. BERNAT METGE;264
A08340267;MORAY FISH INTERNACIONAL S.A.;31/08/2016;29/08/1974;ALIMENTACIÓN Y BEBIDAS;Comercio al por mayor de pescados, mariscos y otros productos alimenticios;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;29;Sin Grupo de Riesgo;30/08/2016;AMARILLA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BARCELONES SUD;BARCELONA AG. MERCABARNA;215
A08343949;AUTOCAS, S.A.U.;31/08/2016;24/04/1974;AUTOMOCIÓN;Venta de automóviles y vehículos de motor ligeros;Venta y reparación de vehículos de motor y motocicletas;28;Sin Grupo de Riesgo;30/08/2016;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.ESTE;DIRECCION REGIONAL EMPRESAS ESTE;CASTELLON-(BE);5181
A08358772;JORMANEL S.A;31/08/2016;29/10/1974;SERVICIOS A EMPRESAS;Otras actividades de apoyo a las empresas n.c.o.p.;Actividades administrativas de oficina y otras actividades auxiliares a las empresas;53;Sin Grupo de Riesgo;30/08/2016;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) DO9  - DO9 -DIRECTOR OFICINA (SAC);133
A08361644;CUNILL ORFEBRES, S.A.;31/08/2016;13/11/2000;BIENES DE CONSUMO;Fabricación de artículos de joyería y artículos similares;Otras industrias manufactureras;22;Sin Grupo de Riesgo;30/08/2016;ROJA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BARCELONA CENTRE;(CARTERA) DO9  - DO9 -DIRECTOR OFICINA (SAC);167
A08363897;INDUSTRIAS QUIMICAS DE PARETS, S.A.;31/08/2016;10/09/1974;QUIMICA;Fabricación de otros productos químicos n.c.o.p.;Industria química;11;Sin Grupo de Riesgo;30/08/2016;AMARILLA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES ORIENTAL - OSONA;(CARTERA) APON - APON-APODERADO GESTION NO INTE;74
A08368797;TALLERES ROAG, S.A.;31/08/2016;01/12/1966;METALURGIA;Fabricación de motores, generadores y transformadores eléctricos;Fabricación de material y equipo eléctrico;18;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) GPYM - GPYM-DIRECTOR DE PYME;900
A08371056;CENTRO DE ESTRUCTURAS Y SERVICIOS SA;31/08/2016;01/01/1975;CONSTRUCCIÓN;Alquiler de maquinaria y equipo para la construcción e ingeniería civil;Actividades de alquiler;50;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT SUD;GAVA O.P.;8
A08376709;S.A.INDUSTRIAS DEL CONEXIONADO;31/08/2016;20/05/1975;CONSTRUCCIÓN;Fabricación de otros hilos y cables electrónicos y eléctricos;Fabricación de material y equipo eléctrico;18;Sin Grupo de Riesgo;;SIN ALERTA;SI;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT SUD;EL PRAT DE LLOBREGAT O.P.;10
A08378929;MUNDIAL INMOBILIARIA, S.A.;31/08/2016;10/08/1987;INVERSIONES INMOBILIARIAS;Promoción inmobiliaria;Construcción de edificios;27;Sin Grupo de Riesgo;30/08/2016;VERDE;NO;NO;Promotores;Promotores;T.UCIS CATALUÑA;DIR.ZONA UCI CATALUNYA;UNIDAD CREDITO INMOBILIARIO CATALUNYA;900
A08397291;PABLO HUC, S.A.;31/08/2016;01/05/1971;CONSTRUCCIÓN;Comercio al por mayor de otra maquinaria y equipo;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;29;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BARCELONA CENTRE;BARCELONA, DIAGONAL - RAMBLA CATALUNYA;7011
A08400558;CENTRE D'ESPORTS SABADELL FUTBOL CLUB,S.A.D.;31/08/2016;30/06/1992;TURISMO, HOSTELERÍA Y OCIO;Otras actividades deportivas;Actividades deportivas, recreativas y de entretenimiento;59;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;(CARTERA) GPYM - GPYM-DIRECTOR DE PYME;900
A08404212;J J VILA SA;31/08/2016;18/09/1988;CONSTRUCCIÓN;Instalaciones eléctricas;Actividades de construcción especializada;27;Sin Grupo de Riesgo;30/08/2016;ROJA;SI;NO;Empresas;Empresas de Red Comercial;CENTRES POTS;CENTRES POTS;IG-BC-RESTO;5098
A08416174;STRUKTUR S.A.;31/08/2016;29/06/1972;METALURGIA;Fabricación de otros productos metálicos n.c.o.p.;Fabricación de productos metálicos, excepto maquinaria y equipo;16;Sin Grupo de Riesgo;30/08/2016;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT NORD - ANOIA;GELIDA;1632
A08417701;JAIME MONES, S.A.;31/08/2016;01/12/1966;CONSTRUCCIÓN;Construcción de edificios residenciales;Construcción de edificios;27;Sin Grupo de Riesgo;;SIN ALERTA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT SUD;EL PRAT DE LLOBREGAT O.P.;10
A08424715;TALLER AUTO-MONTAJE, SOCIEDAD ANONIMA.;31/08/2016;04/06/1992;AUTOMOCIÓN;Mantenimiento y reparación de vehículos de motor;Venta y reparación de vehículos de motor y motocicletas;28;Sin Grupo de Riesgo;;SIN ALERTA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT NORD - ANOIA;(CARTERA) GPM9 - GPM9-DIRECTOR DE PYME (SAC);323
A08435422;BOMBA ELIAS,S.A.;31/08/2016;18/02/1976;METALURGIA;Fabricación de otras bombas y compresores;Fabricación de maquinaria y equipo n.c.o.p.;19;Sin Grupo de Riesgo;30/08/2016;ROJA;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL CATALUNYA CENTRAL - TERRASSA;RUBI AG. SANTA EULALIA;347
A08436958;HILADOS DE CARDA DE SABADELL, S.A.;31/08/2016;01/01/1977;TEXTIL Y CALZADO;Preparación e hilado de fibras textiles;Industria textil;6;Sin Grupo de Riesgo;30/08/2016;AMARILLA;NO;NO;Minorista;Minorista MP;T.CATALUNYA;DIRECCION REGIONAL VALLES OCCIDENTAL;SABADELL O.P.;900
A08472474;MARIN 3, S.A.;31/08/2016;08/11/1977;METALURGIA;"Forja, estampación y embutición de metales; metalurgia de polvos";Fabricación de productos metálicos, excepto maquinaria y equipo;16;Sin Grupo de Riesgo;30/08/2016;ROJA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES ORIENTAL - OSONA;PALAU-SOLITA I PLEGAMANS;60
A08474363;IMPORT-EXPORT BEAUMONT, S.A.;31/08/2016;18/10/1977;INVERSIONES INMOBILIARIAS;Alquiler de bienes inmobiliarios por cuenta propia;Actividades inmobiliarias;44;Sin Grupo de Riesgo;30/08/2016;VERDE;NO;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT SUD;GAVA O.P.;8
A08478554;CORTYPLEG, S.A.;31/08/2016;06/05/1987;METALURGIA;Fabricación de estructuras metálicas y sus componentes;Fabricación de productos metálicos, excepto maquinaria y equipo;16;Sin Grupo de Riesgo;30/08/2016;ROJA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL VALLES ORIENTAL - OSONA;PALAU-SOLITA I PLEGAMANS;60
A08479149;CAPARO ATLAS ESPAÑA, S.A.;31/08/2016;24/05/1988;METALURGIA;Fabricación de productos de alambre, cadenas y muelles;Fabricación de productos metálicos, excepto maquinaria y equipo;16;Sin Grupo de Riesgo;30/08/2016;AMARILLA;SI;NO;Empresas;Empresas de Red Comercial;T.CATALUNYA;DIRECCION REGIONAL BAIX LLOBREGAT SUD;GAVA O.P.;8
